,rho,eta.1,eta.2,delta,mu,sigma.sq,CIrho,CIeta.1,CIeta.2,CIdelta,CImu,CIsigma.sq
result.137,7.199424831,0.869608341,2.463588361,-0.14863933,-6.024225808,104.692598,0,1,1,1,1,1
result.138,5.463111183,0.872706221,2.314985856,-2.442962185,-26.68603262,108.674716,1,1,1,0,0,1
result.139,4.59036083,0.853239077,2.287662766,-2.391743642,-27.05514836,95.58432626,1,1,1,0,0,1
result.140,5.479284615,0.932151848,3.783854255,-0.731904536,-9.164851067,97.54212364,1,1,1,1,1,1
result.141,6.327954519,0.834266852,3.729568828,-2.750100547,-25.3650226,105.6645191,1,1,1,0,0,1
result.142,4.352518816,0.861184547,2.793418299,-2.453225378,-25.70939325,96.31890697,1,1,1,0,0,1
result.143,5.152288221,0.905482429,3.724483293,-0.212967625,-6.029707254,96.70941118,1,1,1,1,1,1
result.144,4.593626342,0.855655932,3.363921966,-2.594888444,-26.15163271,86.87705762,1,1,1,0,0,0
result.145,5.298123737,0.906808606,3.892638208,-2.877795287,-29.71288812,97.68088243,1,1,1,1,1,1
result.146,2.577382292,0.956333157,3.847939934,-2.400889236,-24.34975291,87.12591514,0,0,1,0,0,0
result.147,4.306808224,0.952603606,4.706417115,-0.820242342,-8.615272089,95.35862963,1,0,1,1,1,1
result.148,6.559250999,0.920377063,3.376865196,-0.811922004,-9.415376144,103.0263796,1,1,1,1,1,1
result.149,4.275488656,0.890709073,2.868387625,-2.277513536,-24.68194756,95.13575309,1,1,1,0,0,1
result.150,4.99687269,0.900624476,4.279045227,-2.909742409,-27.371187,93.99944231,1,1,1,1,1,1
